tahun,bulan,kegiatan,jumlah,satuan,keterangan
2020,01,Preparing,919,boks,
2020,01,Scanning,58494,lembar,
2020,01,Indeksing,13110,berkas,
2020,01,Digitalisasi,919,boks,
